STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WT05
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/3/2010,0,0,0,86,69,71,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/4/2010,0.93,0,0,76,69,71,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/5/2010,0,0,0,80,52,61,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/6/2010,0,0,0,75,46,54,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/7/2010,0,0,0,76,54,69,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/8/2010,0,0,0,79,69,73,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/9/2010,0,0,0,84,60,65,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/10/2010,0,0,0,71,56,62,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/11/2010,0,0,0,72,52,58,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/12/2010,0,0,0,75,51,56,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/13/2010,0,0,0,64,56,61,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/14/2010,0,0,0,68,49,55,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/15/2010,0,0,0,80,50,55,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/16/2010,0,0,0,70,43,48,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/17/2010,0.76,0,0,70,48,67,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/18/2010,0,0,0,72,,59,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/19/2010,0,0,0,70,48,55,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/20/2010,0,0,0,77,55,61,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/21/2010,0,0,0,72,44,50,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/22/2010,0,0,0,69,50,68,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/23/2010,0.04,0,0,78,63,64,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/24/2010,0,0,0,77,60,67,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/25/2010,0,0,0,73,67,72,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/26/2010,0,0,0,85,61,63,,
USC00308721,"UPTON COOP NWSFO NEW YORK, NY US",9/27/2010,0.23,0,0,72,60,62,,
